y,27.000,89.000,7.000,77.000,52.000,913.000,0.000,754.000,243.000,388.000,6.000,5.000,2.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27090.900,15249.000,709.000,32.730,14.000,19.081,12.600,17.900,17.870,12.000,8.050,1620.000,609.000,1502.000,20.000,98.000,0.174,0.451,104664.000,15868.000,1780.000,28.539,5.180,5.237
n,2.000,6.000,4.000,9.000,17.000,91.000,0.000,216.000,56.000,285.000,27.000,19.000,0.000,0.000,0.000,2.000,0.000,14.000,0.000,0.000,0.000,0.000,1.000,2.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2388.600,1475.000,64.000,48.130,12.300,21.912,10.400,17.700,17.000,30.500,9.010,48.000,73.000,46.000,0.000,2.000,0.252,0.494,9222.000,1703.000,566.000,41.343,14.151,14.328
y,3.000,6.000,4.000,7.000,2.000,88.000,0.000,68.000,37.000,126.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2145.600,1258.000,51.000,37.940,14.100,24.789,10.200,18.700,17.290,18.000,9.960,114.000,50.000,89.000,6.000,19.000,0.324,0.586,8206.000,1382.000,307.000,44.300,10.781,10.781
y,8.000,11.000,6.000,66.000,22.000,237.000,1.000,56.000,170.000,154.000,16.000,10.000,0.000,0.000,0.000,4.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,3301.200,2047.000,100.000,50.670,11.300,21.162,9.600,14.700,14.620,27.500,8.980,79.000,91.000,77.000,0.000,2.000,0.113,0.426,12859.000,2156.000,281.000,47.331,8.071,8.534
n,6.000,12.000,3.000,9.000,14.000,144.000,0.000,93.000,39.000,88.000,24.000,19.000,1.000,0.000,1.000,0.000,0.000,13.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,2.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,2.000,3220.200,1860.000,77.000,38.450,13.900,22.798,12.000,17.300,15.840,28.500,9.230,49.000,73.000,42.000,1.000,6.000,0.265,0.509,12101.000,1948.000,192.000,50.000,5.749,5.852
n,4.000,4.000,4.000,36.000,20.000,132.000,0.000,306.000,72.000,382.000,97.000,18.000,0.000,0.000,2.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,4.000,0.000,2.000,0.000,3965.400,2344.000,102.000,39.670,13.400,20.466,11.100,19.200,18.860,26.500,8.440,164.000,91.000,161.000,0.000,3.000,0.133,0.363,15629.000,2713.000,780.000,46.923,15.702,16.329
y,6.000,20.000,5.000,16.000,5.000,143.000,2.000,21.000,86.000,23.000,8.000,7.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2418.300,1569.000,60.000,53.440,12.300,22.791,10.200,15.600,12.480,19.667,9.020,67.000,60.000,46.000,14.000,7.000,0.240,0.533,9393.000,1631.000,107.000,54.206,5.641,5.641
n,2.000,2.000,4.000,9.000,17.000,84.000,0.000,68.000,45.000,136.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2432.700,1324.000,47.000,25.930,16.600,26.029,13.800,23.000,20.370,32.000,10.070,43.000,46.000,33.000,0.000,10.000,0.300,0.544,9520.000,1472.000,241.000,58.506,11.345,11.345
y,0.000,0.000,1.000,7.000,1.000,3072.000,0.000,286.000,29.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14031.900,14979.000,864.000,113.140,1.800,20.272,8.300,41.700,49.530,7.286,8.980,-1.000,0.000,0.000,0.000,0.000,0.541,1.000,181478.000,15046.000,3144.000,71.533,37.518,69.427
n,1.000,1.000,4.000,20.000,3.000,19.000,0.000,35.000,29.000,64.000,6.000,5.000,0.000,0.000,0.000,2.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,609.300,339.000,17.000,34.360,13.400,24.001,11.000,18.300,19.320,10.333,10.170,34.000,18.000,30.000,0.000,4.000,0.225,0.387,2278.000,399.000,130.000,50.769,19.549,19.549
